trial, condition, presented_words, recalled_words
194,tapping,"['P', 'F', 'Y', 'S', 'C', 'I', 'A']","['P', 'F', 'Y', 'S', 'C', 'I', 'A']"
195,tapping,"['I', 'R', 'Q', 'W', 'V', 'U', 'C']","['I', 'R', 'Q', 'V', 'W', 'C', 'U']"
196,tapping,"['M', 'Q', 'H', 'I', 'Z', 'T', 'J']","['M', 'Q', 'H', 'I', 'C', 'T', 'J']"
197,tapping,"['S', 'N', 'V', 'T', 'B', 'C', 'I']","['S', 'N', 'V', 'T', 'B', 'C', 'I']"
198,tapping,"['D', 'I', 'J', 'S', 'F', 'P', 'A']","['D', 'I', 'J', 'F', 'S', 'P', 'A']"
199,tapping,"['N', 'V', 'L', 'C', 'Q', 'I', 'Z']","['N', 'V', 'L', 'C', 'Q', 'I']"
200,tapping,"['L', 'Y', 'O', 'R', 'D', 'G', 'N']","['L', 'Y', 'R', 'O', 'D', 'Y', 'G']"
201,tapping,"['U', 'T', 'B', 'V', 'C', 'O', 'I']","['U', 'T', 'B', 'O', 'C', 'V', 'I']"
202,tapping,"['J', 'Z', 'C', 'I', 'F', 'M', 'N']","['J', 'Z', 'C', 'F', 'I', 'M', 'D']"
203,chunking,"['F', 'P', 'S', 'T', 'L', 'D', 'R']","['F', 'P', 'S', 'T', 'L', 'D', 'R']"
204,chunking,"['T', 'H', 'X', 'I', 'T', 'H', 'I']","['T', 'H', 'X', 'I', 'T', 'H', 'D']"
205,chunking,"['P', 'W', 'N', 'D', 'S', 'B', 'S']","['P', 'W', 'N', 'D', 'S', 'B', 'S']"
206,chunking,"['O', 'M', 'G', 'M', 'S', 'M', 'P']","['O', 'M', 'G', 'M', 'S', 'M', 'P']"
207,chunking,"['O', 'M', 'G', 'X', 'D', 'T', 'Y']","['O', 'M', 'G', 'X', 'D', 'T', 'Y']"
208,chunking,"['I', 'M', 'O', 'D', 'V', 'D', 'M']","['I', 'M', 'O', 'D', 'V', 'D', 'M']"
209,chunking,"['S', 'R', 'Y', 'A', 'I', 'B', 'Y']","['S', 'R', 'Y', 'A', 'I', 'B', 'Y']"
210,chunking,"['D', 'R', 'O', 'R', 'G', 'D', 'N']","['D', 'R', 'O', 'R', 'G', 'D', 'N']"
211,chunking,"['A', 'P', 'P', 'W', 'T', 'F', 'W']","['A', 'P', 'W', 'T', 'F', 'W']"
212,chunking,"['P', 'W', 'N', 'C', 'O', 'M', 'R']","['C', 'P', 'R', 'C', 'O', 'M', 'R']"
213,chunking,"['F', 'R', 'M', 'P', '4', 'S', 'E']","['F', 'R', 'M', 'P', 'S', 'E']"
214,chunking,"['B', 'Y', 'E', '4', 'K', 'S', 'P']","['B', 'Y', 'E', 'Y', 'K', 'S', 'P']"
215,chunking,"['X', 'D', 'T', 'V', 'M', 'R', 'C']","['C', 'D', 'T', 'D', 'M', 'R', 'V']"
